[*] '/workspaces/NYCU-UP-2025-Spring/lab3/sample/gotoku.local'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
    RUNPATH:  b'.'
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_616      1d110      14e00     
gop_617      1be18      12810     
gop_618      1d670      158c0     
gop_619      1c388      132f0     
gop_620      1df08      169f0     
gop_621      1cc28      14430     
gop_622      1df10      16a00     
gop_623      1cc38      14450     
gop_624      1df20      16a20     
gop_625      1cc50      14480     
gop_626      1df30      16a40     
gop_627      1d188      14ef0     
gop_628      1bec8      12970     
gop_629      1d1b8      14f50     
gop_630      1c7d0      13b80     
gop_631      1ba28      12030     
gop_632      1ccc0      14560     
gop_633      1ba48      12070     
gop_634      1ccf0      145c0     
gop_635      1df88      16af0     
gop_636      1cca8      14530     
gop_637      1dfb0      16b40     
gop_638      1cce8      145b0     
gop_639      1ba80      120e0     
gop_640      1d5d8      15790     
gop_641      1c2f0      131c0     
gop_642      1db88      162f0     
gop_643      1c8a0      13d3c     
gop_644      1dba8      16330     
gop_645      1c8c0      13d60     
gop_646      1db10      16200     
gop_647      1c858      13c90     
gop_648      1db40      16260     
gop_649      1c8b8      13d50     
gop_650      1bdf0      127c0     
gop_651      1d108      14df0     
gop_652      1be10      12800     
gop_653      1d668      158b0     
gop_654      1c380      132e0     
gop_655      1d688      158f0     
gop_656      1c398      13310     
gop_657      1d630      15840     
gop_658      1c360      132a0     
gop_659      1d650      15880     
gop_660      1cc30      14440     
gop_661      1df18      16a10     
gop_662      1cc48      14470     
gop_663      1df28      16a30     
gop_664      1d180      14ee0     
gop_665      1bec0      12960     
gop_666      1d1b0      14f40     
gop_667      1bee0      129a0     
gop_668      1d150      14e80     
gop_669      1be98      12910     
gop_670      1de20      16820     
gop_671      1cb28      14230     
gop_672      1de08      167f0     
gop_673      1cab8      14150     
gop_674      1df58      16a90     
gop_675      1c7a8      13b30     
gop_676      1daa8      16130     
gop_677      1c7b8      13b50     
gop_678      1dab0      16140     
gop_679      1c7c0      13b60     
gop_680      1c670      138c0     
gop_681      1d918      15e10     
gop_682      1c5d0      13780     
gop_683      1dad8      16190     
gop_684      1c2c8      13170     
gop_685      1d5a0      15720     
gop_686      1c2d0      13180     
gop_687      1d5b8      15750     
gop_688      1c2e0      131a0     
gop_689      1d5d0      15780     
gop_690      1d478      154d0     
gop_691      1c168      12eb0     
gop_692      1d610      15800     
gop_693      1bdc0      12760     
gop_694      1d0c8      14d70     
gop_695      1bdd8      12790     
gop_696      1d0e8      14db0     
gop_697      1bde8      127b0     
gop_698      1d100      14de0     
gop_699      1be08      127f0     
gop_700      1c6e8      139b0     
gop_701      1d498      15510     
gop_702      1c1f8      12fd0     
gop_703      1d4b0      15540     
gop_704      1c218      13010     
gop_705      1d4c8      15570     
gop_706      1c230      13040     
gop_707      1d4e0      155a0     
